accident_id,date,time,weekday,city,area_type,vehicle_type,road_condition,light_condition,vehicles_involved,severity,latitude,longitude
0,2024-11-23,03:01,Saturday,Delhi,Urban,Bike,Dry,Night,1,Serious,28.72177,77.141718
1,2024-02-14,18:27,Wednesday,Bangalore,Urban,Car,Dry,Day,2,Minor,12.972136,77.547254
2,2024-04-11,22:41,Thursday,Chennai,Urban,Bus,Damaged,Night,3,Serious,13.113643,80.22135
3,2024-03-22,22:27,Friday,Delhi,Rural,Bike,Dry,Night,3,Serious,28.664321,77.090493
4,2024-07-02,11:38,Tuesday,Delhi,Urban,Bus,Damaged,Day,1,Minor,28.751412,77.090353
5,2024-10-09,09:53,Wednesday,Delhi,Highway,Bike,Damaged,Day,1,Serious,28.658682,77.07529
6,2024-05-28,02:54,Tuesday,Mumbai,Urban,Bus,Wet,Night,4,Serious,19.089568,72.864183
7,2024-07-08,11:13,Monday,Delhi,Highway,Car,Damaged,Day,2,Serious,28.707514,77.076981
8,2024-08-24,12:17,Saturday,Mumbai,Highway,Truck,Dry,Day,2,Serious,19.10818,72.908205
9,2024-07-24,08:04,Wednesday,Mumbai,Highway,Truck,Dry,Day,4,Serious,19.065563,72.919155
10,2024-08-22,04:16,Thursday,Mumbai,Urban,Truck,Damaged,Night,4,Serious,19.115782,72.86764
11,2024-04-22,04:32,Monday,Chennai,Urban,Car,Dry,Night,2,Minor,13.095445,80.299908
12,2024-08-04,19:04,Sunday,Chennai,Rural,Bus,Damaged,Night,3,Serious,13.129808,80.306778
13,2024-01-06,21:46,Saturday,Bangalore,Highway,Truck,Damaged,Night,3,Fatal,12.932755,77.588077
14,2024-08-20,00:46,Tuesday,Delhi,Highway,Bike,Damaged,Night,1,Fatal,28.741152,77.082344
15,2024-11-23,16:38,Saturday,Mumbai,Urban,Truck,Dry,Day,1,Minor,19.085894,72.876561
16,2024-02-27,11:56,Tuesday,Delhi,Urban,Car,Dry,Day,1,Minor,28.662665,77.101099
17,2024-02-05,17:49,Monday,Mumbai,Urban,Bus,Damaged,Day,2,Minor,19.052506,72.914943
18,2024-08-04,06:59,Sunday,Mumbai,Highway,Truck,Wet,Day,3,Fatal,19.06981,72.879458
19,2024-03-02,07:14,Saturday,Bangalore,Rural,Car,Damaged,Day,2,Minor,12.980444,77.545319
20,2024-12-28,20:03,Saturday,Mumbai,Urban,Car,Wet,Night,1,Serious,19.077416,72.855548
21,2024-09-05,06:34,Thursday,Mumbai,Highway,Bus,Dry,Day,4,Minor,19.10675,72.846741
22,2024-02-19,21:27,Monday,Delhi,Rural,Bus,Wet,Night,1,Serious,28.721436,77.150917
23,2024-02-20,01:25,Tuesday,Delhi,Urban,Bike,Dry,Night,2,Serious,28.707729,77.066518
24,2024-04-03,08:29,Wednesday,Mumbai,Urban,Bus,Damaged,Day,1,Minor,19.031059,72.927628
25,2024-01-08,02:59,Monday,Mumbai,Urban,Bus,Wet,Night,4,Serious,19.047375,72.867804
26,2024-01-31,05:24,Wednesday,Bangalore,Rural,Truck,Wet,Night,3,Fatal,12.963901,77.640332
27,2024-10-11,21:45,Friday,Chennai,Urban,Bike,Wet,Night,2,Fatal,13.129571,80.278618
28,2024-10-04,01:47,Friday,Delhi,Urban,Car,Damaged,Night,4,Serious,28.704385,77.137772
29,2024-03-21,01:32,Thursday,Bangalore,Urban,Car,Damaged,Night,1,Serious,12.989121,77.56812
30,2024-03-02,18:15,Saturday,Bangalore,Highway,Car,Wet,Day,3,Serious,13.015071,77.565026
31,2024-06-09,07:16,Sunday,Chennai,Urban,Truck,Wet,Day,3,Serious,13.125602,80.314273
32,2024-01-05,14:39,Friday,Bangalore,Urban,Bike,Damaged,Day,3,Minor,12.934846,77.579501
33,2024-02-05,07:23,Monday,Delhi,Urban,Bus,Damaged,Day,3,Minor,28.715268,77.151223
34,2024-11-30,16:00,Saturday,Delhi,Highway,Car,Dry,Day,3,Minor,28.665643,77.063204
35,2024-10-10,04:17,Thursday,Delhi,Highway,Bike,Damaged,Night,3,Fatal,28.67446,77.115924
36,2024-05-15,16:31,Wednesday,Delhi,Urban,Car,Damaged,Day,4,Minor,28.737035,77.056909
37,2024-06-19,04:40,Wednesday,Delhi,Urban,Bus,Damaged,Night,4,Serious,28.710191,77.063687
38,2024-12-19,04:34,Thursday,Bangalore,Rural,Bike,Wet,Night,2,Fatal,12.925783,77.581065
39,2024-01-21,11:13,Sunday,Mumbai,Highway,Car,Wet,Day,4,Serious,19.123384,72.902648
40,2024-05-01,05:51,Wednesday,Mumbai,Rural,Car,Dry,Night,3,Minor,19.104239,72.868871
41,2024-12-08,23:51,Sunday,Mumbai,Rural,Bike,Damaged,Night,1,Serious,19.064254,72.831572
42,2024-08-28,07:12,Wednesday,Chennai,Rural,Truck,Dry,Day,2,Minor,13.035066,80.240013
43,2024-06-17,08:55,Monday,Bangalore,Rural,Truck,Damaged,Day,4,Minor,12.989552,77.628966
44,2024-06-18,00:07,Tuesday,Delhi,Urban,Truck,Dry,Night,1,Serious,28.713757,77.087069
45,2024-06-09,13:38,Sunday,Bangalore,Rural,Bike,Wet,Day,1,Serious,12.992479,77.544769
46,2024-10-02,21:46,Wednesday,Mumbai,Rural,Bus,Dry,Night,3,Minor,19.088316,72.894039
47,2024-03-04,23:57,Monday,Delhi,Highway,Truck,Damaged,Night,4,Fatal,28.686718,77.122221
48,2024-10-10,04:12,Thursday,Chennai,Highway,Bus,Damaged,Night,2,Fatal,13.094251,80.250795
49,2024-10-07,00:19,Monday,Delhi,Urban,Bus,Damaged,Night,3,Serious,28.700599,77.096716
50,2024-04-19,16:30,Friday,Mumbai,Highway,Car,Wet,Day,3,Serious,19.035339,72.9229
51,2024-04-30,21:19,Tuesday,Mumbai,Urban,Bike,Dry,Night,1,Serious,19.050484,72.875214
52,2024-02-07,14:26,Wednesday,Mumbai,Highway,Bus,Wet,Day,4,Serious,19.050398,72.893306
