accident_id,date,time,city,area_type,vehicle_type,road_condition,light_condition,vehicles_involved,severity,latitude,longitude
0,2024-01-16,17:15,Mumbai,Urban,Truck,Dry,Day,2,Minor,19.069128,72.908178
1,2024-02-16,02:51,Bangalore,Highway,Bus,Damaged,Night,2,Fatal,12.987122,77.602619
2,2024-12-03,12:06,Chennai,Rural,Truck,Dry,Day,3,Minor,13.054778,80.269893
3,2024-10-08,09:03,Bangalore,Rural,Bike,Damaged,Day,3,Minor,12.958443,77.549707
4,2024-04-19,07:28,Delhi,Highway,Bike,Dry,Day,4,Serious,28.734312,77.117001
5,2024-01-01,10:01,Bangalore,Rural,Bus,Dry,Day,2,Minor,12.954614,77.585925
6,2024-03-15,01:47,Chennai,Highway,Truck,Dry,Night,3,Serious,13.112723,80.238914
7,2024-11-27,03:06,Mumbai,Rural,Truck,Wet,Night,4,Serious,19.125843,72.838542
8,2024-07-13,05:24,Mumbai,Urban,Truck,Wet,Night,4,Serious,19.111571,72.894144
9,2024-01-08,03:29,Chennai,Rural,Truck,Damaged,Night,1,Serious,13.121094,80.294305
10,2024-07-15,17:39,Bangalore,Highway,Car,Dry,Day,1,Minor,12.936861,77.5901
11,2024-11-28,08:59,Bangalore,Urban,Bike,Dry,Day,2,Minor,13.010271,77.615025
12,2024-11-26,07:17,Bangalore,Rural,Car,Damaged,Day,4,Minor,13.005451,77.617758
13,2024-04-14,09:56,Mumbai,Urban,Bus,Damaged,Day,2,Minor,19.112626,72.851815
14,2024-12-16,13:53,Bangalore,Urban,Bike,Dry,Day,3,Minor,12.93034,77.574525
15,2024-10-25,07:31,Bangalore,Rural,Car,Dry,Day,1,Minor,12.989914,77.634346
16,2024-07-08,10:35,Mumbai,Highway,Car,Dry,Day,3,Minor,19.060872,72.861226
17,2024-01-11,19:09,Chennai,Highway,Bus,Wet,Night,2,Fatal,13.09457,80.286907
18,2024-12-15,14:57,Bangalore,Highway,Bike,Damaged,Day,4,Serious,13.007221,77.606884
19,2024-12-14,19:20,Mumbai,Urban,Bus,Dry,Night,4,Minor,19.11228,72.833447
20,2024-10-18,21:37,Delhi,Urban,Bus,Damaged,Night,3,Serious,28.674361,77.143324
21,2024-04-03,16:00,Bangalore,Rural,Truck,Dry,Day,2,Minor,12.997741,77.624291
22,2024-05-07,08:36,Mumbai,Highway,Truck,Dry,Day,2,Minor,19.044575,72.849063
23,2024-06-10,05:39,Delhi,Highway,Truck,Dry,Night,2,Serious,28.668043,77.114089
24,2024-07-07,02:26,Mumbai,Highway,Car,Damaged,Night,3,Fatal,19.041156,72.88891
25,2024-01-02,15:42,Delhi,Highway,Truck,Damaged,Day,2,Serious,28.729305,77.089496
26,2024-07-15,21:12,Mumbai,Highway,Bike,Wet,Night,1,Fatal,19.11944,72.83467
27,2024-12-25,06:21,Mumbai,Highway,Bus,Damaged,Day,2,Serious,19.035076,72.913235
28,2024-12-15,12:17,Chennai,Highway,Truck,Wet,Day,1,Serious,13.076676,80.245238
29,2024-06-28,03:15,Mumbai,Highway,Car,Wet,Night,2,Fatal,19.032359,72.908693
30,2024-10-08,01:30,Mumbai,Rural,Bus,Wet,Night,2,Serious,19.030602,72.90307
31,2024-11-06,15:17,Chennai,Highway,Car,Dry,Day,2,Minor,13.044148,80.249105
32,2024-01-18,07:18,Bangalore,Urban,Truck,Damaged,Day,4,Minor,12.950402,77.603504
33,2024-09-28,21:35,Mumbai,Highway,Bus,Dry,Night,4,Serious,19.082593,72.852411
34,2024-03-19,21:45,Mumbai,Rural,Car,Damaged,Night,1,Serious,19.094183,72.854281
35,2024-12-24,18:57,Bangalore,Highway,Bus,Dry,Day,4,Minor,13.0058,77.629642
36,2024-06-29,21:03,Bangalore,Rural,Bus,Damaged,Night,1,Serious,13.00196,77.635911
37,2024-05-17,06:13,Bangalore,Rural,Car,Wet,Day,3,Minor,12.930253,77.551219
38,2024-05-18,20:06,Bangalore,Urban,Car,Damaged,Night,1,Serious,13.002953,77.622451
39,2024-03-23,10:04,Mumbai,Highway,Bike,Damaged,Day,1,Serious,19.114377,72.894378
40,2024-03-19,08:12,Mumbai,Highway,Truck,Wet,Day,2,Serious,19.099078,72.873654
41,2024-07-05,08:56,Bangalore,Rural,Car,Damaged,Day,2,Minor,12.92395,77.593525
42,2024-02-20,11:56,Chennai,Urban,Car,Dry,Day,4,Minor,13.053634,80.286888
43,2024-04-15,03:16,Delhi,Urban,Car,Wet,Night,4,Serious,28.708287,77.106177
44,2024-10-08,14:30,Bangalore,Highway,Bus,Dry,Day,1,Minor,12.999699,77.547003
45,2024-10-21,06:27,Mumbai,Urban,Truck,Dry,Day,3,Minor,19.109957,72.871688
46,2024-06-27,16:02,Chennai,Rural,Car,Dry,Day,4,Minor,13.113047,80.262615
47,2024-11-30,22:09,Chennai,Urban,Bus,Damaged,Night,1,Serious,13.033565,80.285823
48,2024-09-30,13:48,Delhi,Highway,Bus,Wet,Day,4,Serious,28.719362,77.10359
49,2024-09-14,21:10,Chennai,Rural,Truck,Wet,Night,1,Serious,13.037942,80.276326
50,2024-05-21,08:28,Mumbai,Highway,Bus,Damaged,Day,2,Serious,19.103696,72.83722
51,2024-04-16,12:42,Bangalore,Rural,Car,Wet,Day,2,Minor,12.998009,77.618772
52,2024-03-03,04:04,Delhi,Urban,Car,Damaged,Night,2,Serious,28.66706,77.115738
53,2024-01-15,17:15,Bangalore,Rural,Bus,Damaged,Day,4,Minor,12.922632,77.597726
54,2024-03-19,12:58,Delhi,Rural,Bike,Damaged,Day,4,Minor,28.742875,77.089012
55,2024-04-12,14:52,Bangalore,Rural,Car,Damaged,Day,3,Minor,12.975753,77.565883
56,2024-09-17,01:49,Delhi,Rural,Bus,Dry,Night,4,Minor,28.720023,77.126818
57,2024-02-26,11:46,Mumbai,Highway,Car,Dry,Day,3,Minor,19.079034,72.840851
58,2024-12-24,21:49,Delhi,Highway,Bus,Dry,Night,4,Serious,28.740789,77.064124
59,2024-12-27,04:52,Mumbai,Highway,Truck,Damaged,Night,3,Fatal,19.041275,72.924929
60,2024-04-24,18:36,Mumbai,Rural,Car,Wet,Day,4,Minor,19.106359,72.864554
61,2024-11-02,04:49,Bangalore,Urban,Truck,Wet,Night,2,Serious,12.932768,77.611321
62,2024-09-11,07:35,Delhi,Rural,Bus,Damaged,Day,1,Minor,28.743372,77.15093
63,2024-02-08,00:17,Bangalore,Rural,Bike,Wet,Night,2,Fatal,12.975205,77.628007
64,2024-01-30,14:25,Bangalore,Highway,Bike,Wet,Day,2,Fatal,13.004839,77.579529
65,2024-02-10,01:48,Mumbai,Urban,Bus,Wet,Night,4,Serious,19.051501,72.852704
66,2024-10-09,02:19,Bangalore,Urban,Car,Damaged,Night,1,Serious,12.972422,77.627021
67,2024-08-13,23:19,Mumbai,Rural,Car,Dry,Night,2,Minor,19.062989,72.828345
68,2024-12-10,19:53,Delhi,Highway,Car,Dry,Night,2,Serious,28.697895,77.106444
69,2024-01-17,14:00,Mumbai,Urban,Bus,Dry,Day,4,Minor,19.076333,72.897873
70,2024-05-06,13:43,Bangalore,Highway,Car,Damaged,Day,4,Serious,12.990098,77.602346
71,2024-03-28,06:55,Chennai,Highway,Bus,Wet,Day,3,Serious,13.087314,80.264666
72,2024-08-03,12:01,Chennai,Rural,Truck,Dry,Day,4,Minor,13.087743,80.271526
73,2024-06-05,03:26,Bangalore,Highway,Bus,Dry,Night,3,Serious,12.98915,77.611881
74,2024-01-04,13:53,Chennai,Highway,Car,Wet,Day,2,Serious,13.037831,80.280282
75,2024-09-12,09:25,Chennai,Urban,Bus,Damaged,Day,2,Minor,13.078334,80.313848
76,2024-02-06,20:41,Delhi,Highway,Bus,Wet,Night,2,Fatal,28.705086,77.147059
77,2024-10-13,10:24,Bangalore,Rural,Bike,Damaged,Day,1,Minor,12.968922,77.591506
78,2024-02-05,21:53,Delhi,Rural,Bus,Damaged,Night,4,Serious,28.714926,77.135649
